id,name,description,price,imageSrc,imageAlt,category
toy-001,Magic Building Blocks Set,Colorful interlocking blocks that spark creativity and improve fine motor skills. Perfect for imaginative play.,900,/assets/products/magic-blocks.jpg,Colorful interlocking building blocks,toys
toy-002,Family Board Game Collection,A collection of classic board games including Monopoly Scrabble and Chess. Hours of family fun guaranteed.,567,/assets/products/board-games.jpg,Collection of classic board games,toys
toy-003,3D Puzzle Adventure,Challenge your spatial thinking with these intricate 3D puzzles. Multiple difficulty levels available.,344,/assets/products/3d-puzzle.jpg,3D puzzle pieces and completed puzzle,toys
toy-004,Remote Control Car,High-speed remote control car with LED lights and realistic sound effects. Perfect for outdoor adventures.,345,/assets/products/rc-car.jpg,Remote control car with LED lights,toys
toy-005,Art & Craft Kit,Complete art supplies kit with paints brushes paper and stickers. Unleash your child's artistic potential.,454,/assets/products/art-kit.jpg,Art supplies including paints and brushes,toys
toy-006,Musical Instruments Set,Mini orchestra set with xylophone tambourine maracas and more. Introduce children to the joy of music.,876,/assets/products/musical-set.jpg,Collection of child-friendly musical instruments,toys
edu-001,Robot Coding Kit,Learn programming basics with this interactive robot. Includes visual coding interface and step-by-step tutorials.,567,/assets/products/robot-kit.jpg,Educational robot coding kit,educational
edu-002,Science Experiment Lab,Complete chemistry set with safe experiments. Learn about reactions molecules and scientific principles.,987,/assets/products/science-lab.jpg,Science experiment laboratory kit,educational
edu-003,Interactive World Map,Electronic world map with facts about countries capitals and cultures. Touch-activated learning experience.,765,/assets/products/world-map.jpg,Interactive electronic world map,educational
edu-004,Math Learning Tablet,Digital tablet with math games and exercises. Adaptive learning system adjusts to your child's level.,567,/assets/products/math-tablet.jpg,Educational math learning tablet,educational
edu-005,Language Learning Books,Set of illustrated books for learning Spanish French and Mandarin. Includes audio pronunciation guides.,567,/assets/products/language-books.jpg,Language learning book collection,educational
edu-006,Microscope Discovery Kit,Real working microscope with prepared slides and specimen collection tools. Explore the microscopic world.,4564,/assets/products/microscope.jpg,Educational microscope with slides,educational
edu-007,Discovery Kit,Real working microscope with prepared slides and specimen collection tools. Explore the microscopic world.,490,/assets/products/microscope.jpg,Educational microscope with slides,educational
sharp-001,Memory Master Game,Advanced memory training game with multiple difficulty levels. Improve concentration and recall abilities.,1659,/assets/products/memory-game.jpg,Memory training card game,sharpening
sharp-002,Logic Puzzle Collection,Set of challenging logic puzzles including Sudoku crosswords and brain teasers. Sharpen your thinking skills.,2074,/assets/products/logic-puzzles.jpg,Collection of logic puzzle books,sharpening
sharp-003,Speed Math Trainer,Electronic device for practicing mental math. Timed challenges to improve calculation speed and accuracy.,2904,/assets/products/math-trainer.jpg,Electronic speed math training device,sharpening
sharp-004,Word Association Game,Creative word game that enhances vocabulary and lateral thinking. Perfect for family game nights.,1410,/assets/products/word-game.jpg,Word association card game,sharpening
sharp-005,Pattern Recognition Kit,Visual pattern recognition exercises with increasing complexity. Develop analytical thinking skills.,1908,/assets/products/pattern-kit.jpg,Pattern recognition puzzle pieces,sharpening
sharp-006,Concentration Meditation Set,Guided meditation cards and mindfulness exercises. Improve focus and mental clarity through practice.,1576,/assets/products/meditation-set.jpg,Meditation cards and mindfulness tools,sharpening
sharp-007,Meditation Set,Guided meditation cards and mindfulness exercises. Improve focus and mental clarity through practice.,83,/assets/products/meditation-set.jpg,Meditation cards and mindfulness tools,sharpening
